ID,Link,Name,Rating,Price,Cuisines
161,https://www.swiggy.com/restaurants/smoor-ashok-nagar-lavelle-road-bangalore-588012,Smoor,4.4,450 for two,"Asian, Desserts"
162,https://www.swiggy.com/restaurants/samosa-singh-magrath-rd-central-bangalore-bangalore-679869,Samosa Singh,4.2,150 for two,"Snacks, North Indian"
163,https://www.swiggy.com/restaurants/blue-tokai-coffee-roasters-infantry-road-shivaji-nagar-bangalore-187384,Blue Tokai Coffee Roasters,4.5,800 for two,"Cafe, Healthy Food"
164,https://www.swiggy.com/restaurants/pasta-street-cunningham-road-bangalore-19361,Pasta Street,4.4,900 for two,"Italian, Pizzas"
165,https://www.swiggy.com/restaurants/amore-gelato-italian-ice-cream-shanthala-nagar-central-bangalore-bangalore-672534,Amore Gelato - Italian Ice Cream,4.6,200 for two,Ice Cream
166,https://www.swiggy.com/restaurants/paratha-box-desi-punjabi-meals-ali-asker-road-vasanth-nagar-bangalore-396192,Paratha Box - Desi Punjabi Meals,4.2,250 for two,"North Indian, Fast Food"
167,https://www.swiggy.com/restaurants/foo-brigade-road-brigade-road-prestige-forum-rex-bangalore-642747,Foo Brigade Road,4.3,1000 for two,"Asian, Chinese"
168,https://www.swiggy.com/restaurants/slay-coffee-bar-st-marks-road-bangalore-326529,SLAY Coffee Bar,4.3,200 for two,"Beverages, Desserts"
169,https://www.swiggy.com/restaurants/royce-chocolate-vittal-mallya-road-bangalore-48338,ROYCE&#39; Chocolate,4.8,750 for two,Desserts
170,https://www.swiggy.com/restaurants/pablos-sandwiches-7th-phase-brigade-road-bangalore-577206,Pablo&#39;s Sandwiches,4.2,250 for two,"Snacks, Desserts"
171,https://www.swiggy.com/restaurants/sweet-chariot-brigade-road-ashok-nagar-bangalore-58568,Sweet Chariot,4.2,50 for two,Desserts
